session_id,task_id,agent_type,trial,total_ms,llm_ms,tool_ms,overhead_ms,iterations,tokens,completed,termination,tool_accurate,arg_score,arg_applicable,false_finish,ref_score,ref_applicable,tools,expected,parse_fail,tool_fail,error
qwen25_15b_base_pilot_v2_search_AI_1d_3_regex_0,search_AI_1d_3,regex,0,5340,5335,0,5,6,8496,False,FORCE_STOP,False,1.0,True,False,1.0,False,"get_recently_submitted_cs_papers,download_arxiv_pdf,translate_arxiv_pdf,download_arxiv_pdf,translate_arxiv_pdf",get_recently_submitted_cs_papers,0,0,
qwen25_15b_base_pilot_v2_search_AI_1d_3_regex_1,search_AI_1d_3,regex,1,4357,4352,0,5,5,8626,True,FINISH,False,1.0,True,False,1.0,False,"get_recently_submitted_cs_papers,download_arxiv_pdf,download_arxiv_pdf,download_arxiv_pdf",get_recently_submitted_cs_papers,0,0,
qwen25_15b_base_pilot_v2_search_AI_1d_3_regex_2,search_AI_1d_3,regex,2,4346,4341,0,5,6,7968,False,FORCE_STOP,False,1.0,True,False,1.0,False,"get_recently_submitted_cs_papers,search_arxiv_papers,get_recently_submitted_cs_papers,search_arxiv_papers,get_recently_submitted_cs_papers",get_recently_submitted_cs_papers,0,2,
qwen25_15b_base_pilot_v2_search_kw_agentic_rl_regex_0,search_kw_agentic_rl,regex,0,4612,4608,0,4,6,8159,False,FORCE_STOP,False,0.6666666666666666,True,False,1.0,False,"search_arxiv_papers,get_recently_submitted_cs_papers,search_arxiv_papers,get_recently_submitted_cs_papers,search_arxiv_papers",search_arxiv_papers,0,3,
qwen25_15b_base_pilot_v2_search_kw_agentic_rl_regex_1,search_kw_agentic_rl,regex,1,4202,4199,0,3,6,7667,False,FORCE_STOP,False,0.0,True,False,1.0,False,"get_recently_submitted_cs_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers,search_arxiv_papers",search_arxiv_papers,0,5,
qwen25_15b_base_pilot_v2_search_kw_agentic_rl_regex_2,search_kw_agentic_rl,regex,2,4559,4554,0,5,6,8094,False,FORCE_STOP,False,0.6666666666666666,True,False,1.0,False,"search_arxiv_papers,get_recently_submitted_cs_papers,search_arxiv_papers,get_recently_submitted_cs_papers,search_arxiv_papers",search_arxiv_papers,0,3,
qwen25_15b_base_pilot_v2_opt_force_dl_regex_0,opt_force_dl,regex,0,1164,1163,0,1,2,3068,True,FINISH,True,1.0,True,False,1.0,False,download_arxiv_pdf,download_arxiv_pdf,0,0,
qwen25_15b_base_pilot_v2_opt_force_dl_regex_1,opt_force_dl,regex,1,1205,1203,0,2,2,3086,True,FINISH,True,1.0,True,False,1.0,False,download_arxiv_pdf,download_arxiv_pdf,0,0,
qwen25_15b_base_pilot_v2_opt_force_dl_regex_2,opt_force_dl,regex,2,1217,1216,0,1,2,3086,True,FINISH,True,1.0,True,False,1.0,False,download_arxiv_pdf,download_arxiv_pdf,0,0,
qwen25_15b_base_pilot_v2_ref_ctrl_id_download_regex_0,ref_ctrl_id_download,regex,0,1195,1193,0,2,2,2983,True,FINISH,False,0.0,True,True,1.0,False,search_arxiv_papers,download_arxiv_pdf,0,1,
